Document Count,Indexing Duration
1093,5µs
1094,162.875µs
1095,75.542µs
1096,77.542µs
1097,111.125µs
1098,117.167µs
1099,141.5µs
1100,186.292µs
1101,97.292µs
1102,476.25µs
1103,223.167µs
1104,207.041µs
1105,466.25µs
1106,5.875µs
1107,115µs
1108,58.167µs
1109,355.709µs
1110,208.042µs
1111,213.792µs
1112,97.291µs
1113,125.125µs
1114,250.25µs
1115,76.541µs
1116,67.125µs
1117,315.833µs
1118,238.25µs
1119,114.208µs
1120,24.167µs
1121,57.917µs
1122,222.375µs
1123,76.375µs
1124,259.083µs
1125,115.75µs
1126,183.916µs
1127,254.209µs
1128,305.5µs
1129,82.334µs
1130,275.333µs
1131,154.375µs
1132,4.334µs
1133,208.416µs
1134,412.916µs
1135,229.375µs
1136,203.375µs
1137,81.75µs
1138,44.208µs
1139,4.542µs
1140,90.125µs
1141,361.791µs
1142,154.917µs
1143,58.667µs
1144,10.834µs
1145,1.916µs
1146,14.042µs
1147,4.625µs
1148,30.458µs
1149,16µs
1150,11.083µs
1151,28.25µs
1152,242.542µs
1153,47.25µs
1154,5.625µs
1155,252.25µs
1156,43.625µs
1157,6.291µs
1158,21.208µs
1159,75.208µs
1160,92.834µs
1161,5.875µs
1162,17.833µs
1163,37.333µs
1164,7.167µs
1165,57.667µs
1166,293.667µs
1167,228.416µs
1168,60.125µs
1169,18µs
1170,36.5µs
1171,8.708µs
1172,101.875µs
1173,84.667µs
1174,188.459µs
1175,256.125µs
1176,23.833µs
1177,119.875µs
1178,177.708µs
1179,24.417µs
1180,32.334µs
1181,11.5µs
1182,27.917µs
1183,91.792µs
1184,216.917µs
1185,156.583µs
1186,165.708µs
1187,193.083µs
1188,124.5µs
1189,133.708µs
1190,137.958µs
1191,71.208µs
1192,140.375µs
1193,179.875µs
1194,90.459µs
1195,116.833µs
1196,24µs
1197,43.542µs
1198,44.458µs
1199,93.375µs
1200,15.709µs
1201,124.209µs
1202,78.667µs
1203,211.875µs
1204,148.042µs
1205,151.625µs
1206,4.375µs
1207,234.833µs
1208,62.791µs
1209,90.917µs
1210,20.292µs
1211,60.375µs
1212,46.25µs
1213,225.291µs
1214,160.625µs
1215,35.708µs
1216,13.125µs
1217,49.834µs
1218,51.334µs
1219,13.833µs
1220,72µs
1221,95.458µs
1222,450.791µs
1223,143.333µs
1224,275.458µs
1225,4.458µs
1226,55.833µs
1227,278.334µs
1228,214.958µs
1229,114.375µs
1230,122.208µs
1231,73.208µs
1232,96.291µs
1233,121.834µs
1234,117.25µs
1235,430.25µs
1236,35.333µs
1237,22.584µs
1238,8.5µs
1239,75µs
1240,202µs
1241,9.375µs
1242,208.958µs
1243,115.791µs
1244,78.25µs
1245,65.625µs
1246,97.584µs
1247,4.041µs
1248,187.834µs
1249,192.291µs
1250,182.667µs
1251,195.125µs
1252,222.583µs
1253,218.292µs
1254,93.792µs
1255,51.333µs
1256,455.583µs
1257,9.791µs
1258,7.334µs
1259,33.083µs
1260,314.25µs
1261,25.167µs
1262,83.708µs
1263,267.458µs
1264,133.791µs
1265,31.375µs
1266,554.75µs
1267,207.75µs
1268,193.834µs
1269,178.291µs
1270,32.167µs
1271,181µs
1272,27.583µs
1273,56.792µs
1274,112.542µs
1275,183.333µs
1276,160.75µs
1277,106.125µs
1278,81.625µs
1279,112.167µs
1280,149.167µs
1281,44.208µs
1282,26.792µs
1283,27.125µs
1284,23.625µs
1285,32.625µs
1286,175.875µs
1287,31.167µs
1288,23.666µs
1289,126µs
1290,359.125µs
1291,52.666µs
1292,203.584µs
1293,35.417µs
1294,74.584µs
1295,15.084µs
1296,37.083µs
1297,43.166µs
1298,133.083µs
1299,14.916µs
1300,81µs
1301,9.208µs
1302,60.292µs
1303,20.791µs
1304,40.833µs
1305,136.542µs
1306,93.541µs
1307,201.25µs
1308,84.25µs
1309,8.917µs
1310,9.792µs
1311,261.416µs
1312,134.708µs
1313,130.791µs
1314,118.292µs
1315,68.542µs
1316,49.166µs
1317,47.875µs
1318,23.833µs
1319,9.292µs
1320,13.417µs
1321,53.75µs
1322,105.834µs
1323,8.5µs
1324,144.458µs
1325,225.583µs
1326,110.25µs
1327,119µs
1328,9.125µs
1329,9.958µs
1330,19.333µs
1331,31.167µs
1332,9.791µs
1333,17.291µs
1334,12.25µs
1335,141.584µs
1336,58.583µs
1337,55.75µs
1338,23.209µs
1339,40.541µs
1340,9.5µs
1341,28.541µs
1342,24.625µs
1343,407.333µs
1344,118.75µs
1345,64µs
1346,169.459µs
1347,96.833µs
1348,10.458µs
1349,15.125µs
1350,8.583µs
1351,35.292µs
1352,44.708µs
1353,20.375µs
1354,92.833µs
1355,68.583µs
1356,44.542µs
1357,8.208µs
1358,4.959µs
1359,49.042µs
1360,26.375µs
1361,20.375µs
1362,36.458µs
1363,11.917µs
1364,49.667µs
1365,35.5µs
1366,6.166µs
1367,29.541µs
1368,37.5µs
1369,56.083µs
1370,8.292µs
1371,112.292µs
1372,103.75µs
1373,167.125µs
1374,288.75µs
1375,63.042µs
1376,119.208µs
1377,160.292µs
1378,121.584µs
1379,75.416µs
1380,144.458µs
1381,66.667µs
1382,219.458µs
1383,266.333µs
1384,140.75µs
1385,18.458µs
1386,70.25µs
1387,144.333µs
1388,73.416µs
1389,254.042µs
1390,200.166µs
1391,140µs
1392,258.375µs
1393,264.791µs
1394,20.834µs
1395,174.375µs
1396,127.666µs
1397,63.833µs
1398,88.375µs
1399,71.792µs
1400,50.166µs
1401,95.667µs
1402,64.583µs
1403,160.917µs
1404,105.75µs
1405,70.958µs
1406,3.792µs
1407,50.375µs
1408,60.458µs
1409,50.125µs
1410,67.958µs
1411,167.75µs
1412,117.792µs
1413,167.75µs
1414,67.084µs
1415,104.5µs
1416,117.583µs
1417,79.667µs
1418,90.166µs
1419,6.334µs
1420,68.875µs
1421,136.833µs
1422,104.833µs
1423,57.542µs
1424,84.083µs
1425,153.333µs
1426,49.417µs
1427,6.333µs
1428,22µs
1429,20.416µs
1430,232.542µs
1431,72.458µs
1432,50.458µs
1433,4.334µs
1434,49.75µs
1435,118.75µs
1436,80.75µs
1437,209.959µs
1438,141.875µs
1439,290.458µs
1440,274.792µs
1441,200.625µs
1442,159.334µs
1443,180.541µs
1444,9.542µs
1445,20.417µs
1446,25.541µs
1447,89.375µs
1448,75.541µs
1449,128.292µs
1450,185.583µs
1451,27µs
1452,131.875µs
1453,124µs
1454,36.083µs
1455,127.792µs
1456,160.125µs
1457,40.375µs
1458,32.458µs
1459,223.709µs
1460,75.042µs
1461,62.458µs
1462,176.875µs
1463,83.5µs
1464,135.625µs
1465,158.25µs
1466,103.416µs
1467,11µs
1468,44.834µs
1469,4.334µs
1470,9.833µs
1471,346.5µs
1472,80.25µs
1473,122.083µs
1474,29.958µs
1475,7.5µs
1476,22.875µs
1477,109.334µs
1478,196.333µs
1479,99.916µs
1480,115.459µs
1481,6.583µs
1482,138.834µs
1483,90.25µs
1484,208.625µs
1485,183.375µs
1486,109.25µs
1487,20.958µs
1488,92µs
1489,265.25µs
1490,250.5µs
1491,32.334µs
1492,129µs
1493,159.666µs
1494,150.042µs
1495,85.041µs
1496,51.459µs
1497,40.25µs
1498,12.083µs
1499,5.833µs
1500,5.291µs
1501,17µs
1502,46.833µs
1503,16.375µs
1504,5.833µs
1505,176.666µs
1506,13.833µs
1507,84.875µs
1508,20.917µs
1509,20.167µs
1510,26µs
1511,29.041µs
1512,16.416µs
1513,33.083µs
1514,12.708µs
1515,6.333µs
1516,11.25µs
1517,55.666µs
1518,14.208µs
1519,21.75µs
1520,10.375µs
1521,51.625µs
1522,19.416µs
1523,48.208µs
1524,24.542µs
1525,16.25µs
1526,11.208µs
1527,217.916µs
1528,16.792µs
1529,25µs
1530,37.791µs
1531,21.166µs
1532,18.041µs
1533,35.292µs
1534,13.917µs
1535,144.292µs
1536,37.333µs
1537,151.042µs
1538,16.458µs
1539,37.791µs
1540,43.75µs
1541,9.833µs
1542,53.375µs
1543,158.083µs
1544,237.875µs
1545,162.208µs
1546,193.625µs
1547,201.416µs
1548,127.875µs
1549,8.333µs
1550,130.834µs
1551,146.459µs
1552,239.375µs
1553,128.25µs
1554,40µs
1555,4.291µs
1556,55.875µs
1557,661.541µs
1558,255.375µs
1559,7.667µs
1560,49.458µs
1561,53µs
1562,272.541µs
1563,108.542µs
1564,344.417µs
1565,308.084µs
1566,95.292µs
1567,36.75µs
1568,4.25µs
1569,9.958µs
1570,188µs
1571,68.709µs
1572,147.958µs
1573,34.708µs
1574,28µs
1575,44.375µs
1576,66.75µs
1577,162.583µs
1578,96.875µs
1579,115.208µs
1580,56.167µs
1581,89.75µs
1582,260.083µs
1583,10.042µs
1584,39.125µs
1585,18.042µs
1586,61.167µs
1587,5.583µs
1588,25.25µs
1589,63.208µs
1590,74µs
1591,158.667µs
1592,133.417µs
1593,87.375µs
1594,113.291µs
1595,590µs
1596,45.625µs
1597,7µs
1598,16.875µs
1599,29µs
1600,16.625µs
1601,16.667µs
1602,89.416µs
1603,40.292µs
1604,321.667µs
1605,91.125µs
1606,111.375µs
1607,73.708µs
1608,39µs
1609,63.291µs
1610,53.125µs
1611,134.834µs
1612,33µs
1613,15.75µs
1614,168.792µs
1615,140.334µs
1616,29.667µs
1617,7.417µs
1618,274.417µs
1619,91.292µs
1620,256.208µs
1621,261.208µs
1622,62.167µs
1623,90.791µs
1624,51.625µs
1625,199.625µs
1626,82.375µs
1627,72.625µs
1628,119.666µs
1629,134.917µs
1630,10.708µs
1631,46.334µs
1632,42.791µs
1633,44.833µs
1634,11.209µs
1635,103.708µs
1636,15.541µs
1637,47.667µs
1638,19.75µs
1639,73.416µs
1640,120.584µs
1641,421.208µs
1642,83.833µs
1643,92.083µs
1644,33.041µs
1645,38.375µs
1646,54.333µs
1647,2.166µs
1648,63.416µs
1649,133.959µs
1650,34.417µs
1651,21.875µs
1652,12.167µs
1653,10.042µs
1654,5.917µs
1655,53.708µs
1656,11.417µs
1657,176.375µs
1658,51.333µs
1659,22.75µs
1660,35.791µs
1661,77.583µs
1662,9.042µs
1663,68.875µs
1664,65.583µs
1665,7.792µs
1666,5.292µs
1667,7.542µs
1668,24.875µs
1669,115.917µs
1670,10.125µs
1671,126.792µs
1672,11.542µs
1673,21.084µs
1674,14.416µs
1675,53.542µs
1676,26.166µs
